epoch,box,cls,Recall,Precision,mAP@50,mAP
438,1.203,1.384,0.477,0.477,0.515,0.358
439,1.207,1.392,0.477,0.477,0.515,0.358
440,1.204,1.392,0.476,0.476,0.515,0.358
441,1.203,1.384,0.477,0.477,0.516,0.358
442,1.201,1.386,0.478,0.478,0.516,0.358
443,1.203,1.386,0.479,0.479,0.516,0.358
444,1.201,1.382,0.478,0.478,0.516,0.359
445,1.200,1.378,0.477,0.477,0.516,0.359
446,1.197,1.374,0.480,0.480,0.516,0.359
447,1.198,1.380,0.480,0.480,0.517,0.359
448,1.198,1.371,0.478,0.478,0.517,0.359
449,1.196,1.371,0.477,0.477,0.517,0.360
450,1.195,1.369,0.477,0.477,0.517,0.359
451,1.192,1.367,0.476,0.476,0.517,0.360
452,1.190,1.364,0.476,0.476,0.517,0.360
453,1.194,1.370,0.477,0.477,0.517,0.360
454,1.191,1.362,0.478,0.478,0.517,0.360
455,1.188,1.357,0.478,0.478,0.518,0.360
456,1.191,1.361,0.478,0.478,0.518,0.360
457,1.191,1.363,0.480,0.480,0.518,0.360
458,1.187,1.356,0.480,0.480,0.518,0.361
459,1.189,1.356,0.479,0.479,0.519,0.361
460,1.189,1.352,0.480,0.480,0.519,0.361
461,1.188,1.353,0.483,0.483,0.519,0.361
462,1.186,1.349,0.482,0.482,0.520,0.361
463,1.185,1.348,0.478,0.478,0.519,0.361
464,1.182,1.341,0.477,0.477,0.520,0.361
465,1.187,1.344,0.476,0.476,0.520,0.362
466,1.179,1.343,0.476,0.476,0.520,0.362
467,1.181,1.341,0.475,0.475,0.520,0.362
468,1.182,1.340,0.477,0.477,0.521,0.362
469,1.177,1.336,0.478,0.478,0.520,0.362
470,1.176,1.333,0.480,0.480,0.520,0.362
471,1.179,1.332,0.479,0.479,0.521,0.362
472,1.174,1.327,0.481,0.481,0.521,0.362
473,1.176,1.326,0.482,0.482,0.521,0.362
474,1.175,1.323,0.483,0.483,0.521,0.362
475,1.171,1.320,0.482,0.482,0.521,0.362
476,1.177,1.323,0.481,0.481,0.522,0.363
477,1.167,1.314,0.483,0.483,0.522,0.363
478,1.171,1.314,0.484,0.484,0.521,0.363
479,1.169,1.315,0.483,0.483,0.521,0.363
480,1.167,1.311,0.484,0.484,0.522,0.363
481,1.170,1.307,0.485,0.485,0.522,0.363
482,1.165,1.306,0.483,0.483,0.521,0.363
483,1.162,1.304,0.483,0.483,0.522,0.363
484,1.161,1.302,0.482,0.482,0.522,0.364
485,1.163,1.300,0.481,0.481,0.522,0.363
486,1.160,1.299,0.480,0.480,0.522,0.363
487,1.162,1.298,0.481,0.481,0.522,0.364
488,1.160,1.292,0.481,0.481,0.523,0.364
489,1.157,1.288,0.483,0.483,0.523,0.364
490,1.158,1.290,0.484,0.484,0.524,0.365
491,1.150,1.213,0.483,0.483,0.524,0.365
492,1.146,1.194,0.485,0.485,0.524,0.365
493,1.146,1.191,0.489,0.489,0.524,0.366
494,1.142,1.179,0.486,0.486,0.524,0.366
495,1.134,1.169,0.487,0.487,0.524,0.366
496,1.132,1.169,0.488,0.488,0.525,0.367
497,1.134,1.161,0.485,0.485,0.524,0.367
498,1.124,1.156,0.484,0.484,0.524,0.367
499,1.127,1.154,0.484,0.484,0.524,0.367
500,1.121,1.146,0.486,0.486,0.525,0.367
